event_id,date,days_to_show,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active,FV_delta,maxPrice_FV_delta,FV_delta_log
9536046,2016-05-18T18:00:00-0400,66,Otep,Masquerade Atlanta,72.11,59,2,8,Atlanta,GA,Ticketmaster,16,0,105933,66,450,113,11,0.415889348,0.586956,0.569762,16,56.11,43,4.02731405
9536225,2016-11-11T19:00:00-0400,243,Streetlight Manifesto,Masquerade Atlanta,76.37,100,10,46,Atlanta,GA,Ticketmaster,19.5,0,22900,243,384,82,15,0.422159106,0.593816,0.584763,14,56.87,80.5,4.040767961
9536590,2016-06-12T20:30:00-0400,91,Oh Wonder,Terminal West,74.46,150,5,24,Atlanta,GA,Ticketfly,18,0,8418168,91,665,10,1,0.495731054,0.473941,0.573695,2,56.46,132,4.033532423
9537481,2016-05-01T18:30:00-0400,49,Enter Shikari,Masquerade Atlanta,60.32,49.02,2,14,Atlanta,GA,Ticketmaster,21,0,188715,49,1065,318,18,0.387488096,0.623617,0.56388,23,39.32,28.02,3.671733295
9537543,2016-05-02T20:30:00-0400,50,Lupe Fiasco,Variety Playhouse,107.41,121,7,37,Atlanta,GA,Ticketmaster,45,0,268664,50,8928,941,84,0.303031738,0.770208,0.593047,16,62.41,76,4.133725519
9537676,2016-06-05T20:00:00-0400,84,Cyndi Lauper,Symphony Hall Atlanta,104.81,337.05,27,108,Atlanta,GA,Ticketmaster,35.5,0,362622,84,3215,551,38,0.475769856,0.751473,0.890075,36,69.31,301.55,4.238589196
9537696,2016-05-17T18:30:00-0400,65,Insane Clown Posse,Masquerade Atlanta,61.21,57,6,31,Atlanta,GA,Ticketmaster,22.5,0,48999,65,1290,363,21,0.363054117,0.668802,0.572419,27,38.71,34.5,3.656097965
9541570,2016-05-02T20:00:00-0400,50,Father,Center Stage Theatre,108.7,90,2,7,Atlanta,GA,Ticketmaster,20,0,234137,50,2102,203,3,0.431191665,0.519498,0.532826,2,88.7,70,4.485259889
9426931,2016-07-06T19:00:00-0500,115,Twenty One Pilots,Austin360 Amphitheater,105.15,5000,169,821,Austin,TX,Ticketmaster,22.5,0,3123851,115,852,265,10,0.572563353,0.586834,0.78425,7,82.65,4977.5,4.414614824
9434930,2016-04-27T20:00:00-0500,45,Bonnie Raitt,ACL Live at The Moody Theater,158.06,394.69,19,49,Austin,TX,Ticketfly,49,0,135398,45,2254,721,66,0.316062808,0.728868,0.562017,45,109.06,345.69,4.69189819
9452460,2016-08-07T19:00:00-0500,147,Dixie Chicks,Austin360 Amphitheater,222.55,980,70,223,Austin,TX,Ticketmaster,47.5,0,61008,147,982,502,49,0.392185627,0.710058,0.670223,27,175.05,932.5,5.165071647
9463287,2016-04-12T20:00:00-0500,30,Savages,Emos,41.25,53.58,3,18,Austin,TX,Front Gate Tickets,20,0,242996,30,13,5,56,0.576637726,0.340308,0.602402,6,21.25,33.58,3.056356895
9469922,2016-05-05T20:00:00-0500,53,The 1975,Austin360 Amphitheater,60.3,312.12,86,341,Austin,TX,Ticketmaster,29.5,0,66370,53,3924,835,19,0.524438552,0.626937,0.7675,14,30.8,282.62,3.42751469
9483192,2016-04-29T19:30:00-0500,47,Blue October,Stubbs BarBQ,67.27,115,18,78,Austin,TX,ShowClix,50,0,500273,47,292,33,24,0.434421248,0.607631,0.615481,21,17.27,65,2.848970892
9500569,2016-05-19T19:30:00-0500,67,Florence and the Machine,Austin360 Amphitheater,39.46,600,250,984,Austin,TX,Ticketmaster,30.5,0,595947,67,7127,1667,75,0.442085642,0.740166,0.805952,9,8.96,569.5,2.192770227
9501834,2016-04-11T20:00:00-0500,29,Beach House,ACL Live at The Moody Theater,56.78,8000,62,229,Austin,TX,Ticketfly,29.5,0,273059,29,10212,4223,139,0.419767047,0.703756,0.708198,12,27.28,7970.5,3.306153833
9503052,2016-03-20T20:00:00-0500,7,Robert Plant & The Sensational Space Shifters,ACL Live at The Moody Theater,155.9,371,30,78,Austin,TX,Ticketfly,51,0,39257,7,4399,1629,91,0.338145618,0.713026,0.581424,51,104.9,320,4.653007515
9507665,2016-06-19T20:00:00-0500,98,The Avett Brothers,ACL Live at The Moody Theater,108.7,500,94,294,Austin,TX,Ticketfly,65,1,348455,98,2884,1242,72,0.369703615,0.678902,0.594076,16,43.7,435,3.777348102
9509201,2016-08-13T19:00:00-0500,153,Hank Williams Jr and Chris Stapleton,Austin360 Amphitheater,82.74,9999,441,1476,Austin,TX,Ticketmaster,29.5,0,336551,153,859,456,39,0.348076441,0.686504,0.567542,59,53.24,9969.5,3.974809994
